case,case_id,eps_z,window,step,time_ps,interface_z_A,r_bin_min_A,r_bin_max_A,r_bin_center_A,r_bin_width_A,matrix_atoms_in_bin,bin_volume_A3,atom_volume_proxy_A3,sigma_xx_mean_mpa,sigma_yy_mean_mpa,sigma_zz_mean_mpa,sigma_xy_mean_mpa,sigma_xz_mean_mpa,sigma_yz_mean_mpa,abs_sigma_zz_mean_mpa,sigma_vm_mean_mpa,sigma_principal_max_mean_mpa,sigma_vm_median_mpa,sigma_vm_p90_mpa,sigma_vm_p95_mpa,sigma_vm_p99_mpa,sigma_principal_max_p95_mpa,abs_sigma_zz_p95_mpa,max_component_p95_mpa,fraction_vm_gt_120mpa,fraction_abs_sigma_zz_gt_120mpa,fraction_any_gt_120mpa,pe_atom_mean_ev,thermo_temp_K,thermo_press_bar,thermo_pxx_bar,thermo_pyy_bar,thermo_pzz_bar,stress_conversion_note,window_step_min,window_step_max,window_frame_count
eps00194,F0_planar_100A_comm_eps00194_cpu_zhi200,0.00194,initial,0,0.0,50.0,22.0,24.0,23.0,2.0,1380,23055.73536282037,16.707054610739398,-1570.143230320788,-1097.1131174931102,-711.5473157475197,-3.714660697127327e-09,-1.9347415642154464,-3.968549069029202e-07,711.5473157475197,744.8583351849244,-711.5429560646352,730.9190682173568,953.4581703308875,965.14664591418,969.6718317212287,-272.7129655786229,1147.9701507452721,1802.8731396279884,1.0,1.0,1.0,-3.351680760869566,286.81307,-1989.0424,-2606.1063,-5881.8638,2520.8428,sigma_mpa = -sum(c_stress_atom_virial)/(Lx*Ly*bin_width)*0.1; per-atom percentiles use bin_volume/count proxy,,,
eps00194,F0_planar_100A_comm_eps00194_cpu_zhi200,0.00194,initial,0,0.0,50.0,24.0,26.0,25.0,2.0,1380,23055.73536282037,16.707054610739398,-1597.5580488053579,-1125.0915701361878,-762.2015768943266,-1.949570475017258e-09,-1.7950143401947807,-3.393718271819344e-08,762.2015768943266,725.5182589996126,-762.197719784563,718.2804941087613,924.6214996509902,932.5986614418304,935.804098694653,-375.43653473645105,1147.7127744392633,1782.983338119445,1.0,1.0,1.0,-3.351652608695652,286.81307,-1989.0424,-2606.1063,-5881.8638,2520.8428,sigma_mpa = -sum(c_stress_atom_virial)/(Lx*Ly*bin_width)*0.1; per-atom percentiles use bin_volume/count proxy,,,
eps00194,F0_planar_100A_comm_eps00194_cpu_zhi200,0.00194,initial,0,0.0,50.0,26.0,28.0,27.0,2.0,1380,23055.73536282037,16.707054610739398,-1622.8496645714,-1150.886518362348,-808.9703805360842,-2.1573719343003822e-09,-1.0926938743677603,2.8994842891480887e-08,808.9703805360842,707.8356128179876,-808.9689135153917,705.4391362238937,893.0267682885333,899.099107930568,901.4489955284745,-465.7600276607703,1146.0188792159959,1767.9597444431156,1.0,1.0,1.0,-3.3516246739130433,286.81307,-1989.0424,-2606.1063,-5881.8638,2520.8428,sigma_mpa = -sum(c_stress_atom_virial)/(Lx*Ly*bin_width)*0.1; per-atom percentiles use bin_volume/count proxy,,,
eps00194,F0_planar_100A_comm_eps00194_cpu_zhi200,0.00194,initial,0,0.0,50.0,28.0,30.0,29.0,2.0,1380,23055.73536282037,16.707054610739398,-1645.5178463394295,-1174.00094918026,-850.8891636410668,8.750575151884537e-10,-0.9234440266144281,-4.660269243719311e-09,850.8891636410668,692.1594000376984,-850.8880905012,694.1241544994507,856.4628263164626,863.5148128479531,865.9957027213708,-551.2856917988039,1140.0273982319297,1758.7420813907063,1.0,1.0,1.0,-3.3515976086956525,286.81307,-1989.0424,-2606.1063,-5881.8638,2520.8428,sigma_mpa = -sum(c_stress_atom_virial)/(Lx*Ly*bin_width)*0.1; per-atom percentiles use bin_volume/count proxy,,,
eps00194,F0_planar_100A_comm_eps00194_cpu_zhi200,0.00194,initial,0,0.0,50.0,30.0,32.0,31.0,2.0,1380,23055.73536282037,16.707054610739398,-1665.06458787285,-1193.9252887326986,-886.8775503458363,-4.261355820298686e-10,-0.9843225393970312,-1.0675676881613503e-09,886.8775503458363,678.9077373115582,-886.8763052861476,681.4724561692541,819.9747210729953,826.6583121021603,830.3917656511624,-627.6931249702927,1134.8020606704015,1755.8032031058146,1.0,1.0,1.0,-3.3515728260869566,286.81307,-1989.0424,-2606.1063,-5881.8638,2520.8428,sigma_mpa = -sum(c_stress_atom_virial)/(Lx*Ly*bin_width)*0.1; per-atom percentiles use bin_volume/count proxy,,,
eps00194,F0_planar_100A_comm_eps00194_cpu_zhi200,0.00194,initial,0,0.0,50.0,32.0,34.0,33.0,2.0,1380,23055.73536282037,16.707054610739398,-1682.5480250157846,-1211.7363623565834,-919.096969432243,2.7618889341852355e-09,-0.8117862738040631,3.476399227047728e-10,919.096969432243,667.1442513581294,-919.0961062515524,670.683820261128,787.416778470902,792.8460932414224,795.1578885042102,-699.9620983691796,1130.4206779727626,1756.2162022945265,1.0,1.0,1.0,-3.351550326086957,286.81307,-1989.0424,-2606.1063,-5881.8638,2520.8428,sigma_mpa = -sum(c_stress_atom_virial)/(Lx*Ly*bin_width)*0.1; per-atom percentiles use bin_volume/count proxy,,,
eps00194,F0_planar_100A_comm_eps00194_cpu_zhi200,0.00194,initial,0,0.0,50.0,34.0,36.0,35.0,2.0,1380,23055.73536282037,16.707054610739398,-1698.6812124481764,-1228.1632337636324,-948.967975026391,1.1567886084073852e-09,-0.5275138835785239,2.6402439127542917e-11,948.967975026391,656.2807207124033,-948.9676038567948,659.3102860956983,757.1800962689325,761.2765536951817,762.6326416189501,-766.9008134572894,1127.014931039762,1759.1670515703952,1.0,1.0,1.0,-3.3515266304347824,286.81307,-1989.0424,-2606.1063,-5881.8638,2520.8428,sigma_mpa = -sum(c_stress_atom_virial)/(Lx*Ly*bin_width)*0.1; per-atom percentiles use bin_volume/count proxy,,,
eps00194,F0_planar_100A_comm_eps00194_cpu_zhi200,0.00194,initial,0,0.0,50.0,36.0,38.0,37.0,2.0,1380,23055.73536282037,16.707054610739398,-1713.0012501656638,-1242.7401273092603,-975.4979681224419,-1.8144214720746558e-10,-0.3116996737214177,3.3936049955009844e-10,975.4979681224419,646.7130620613913,-975.4978363851715,649.3276998702174,729.3169906482639,732.5036954309919,733.9992387232386,-823.3764409313559,1124.0880237458475,1764.428302104855,1.0,1.0,1.0,-3.351505869565218,286.81307,-1989.0424,-2606.1063,-5881.8638,2520.8428,sigma_mpa = -sum(c_stress_atom_virial)/(Lx*Ly*bin_width)*0.1; per-atom percentiles use bin_volume/count proxy,,,
eps00194,F0_planar_100A_comm_eps00194_cpu_zhi200,0.00194,initial,0,0.0,50.0,38.0,40.0,39.0,2.0,1380,23055.73536282037,16.707054610739398,-1725.1819937238536,-1255.138886034648,-998.0519006610043,2.698513029968545e-10,-0.1468481051122285,-4.97661229153381e-10,998.0519006610043,638.6519172281635,-998.0518710041862,640.5911393479311,705.4396504589733,708.042390960925,709.1566762213124,-871.6867648655145,1121.4364492444076,1769.7673640806659,1.0,1.0,1.0,-3.35148652173913,286.81307,-1989.0424,-2606.1063,-5881.8638,2520.8428,sigma_mpa = -sum(c_stress_atom_virial)/(Lx*Ly*bin_width)*0.1; per-atom percentiles use bin_volume/count proxy,,,
eps00194,F0_planar_100A_comm_eps00194_cpu_zhi200,0.00194,initial,0,0.0,50.0,40.0,42.0,41.0,2.0,1380,23055.73536282037,16.707054610739398,-1735.1987854837218,-1265.3342017034365,-1016.5900211448661,-2.0153410652433227e-10,-0.013705281355321437,1.1756500438821012e-09,1016.5900211448661,632.0779033332841,-1016.5900208834798,633.2300776160237,685.3556524438881,687.4879162613488,688.500456208998,-912.4113537191228,1117.8511374467496,1773.1431835362237,1.0,1.0,1.0,-3.351468804347826,286.81307,-1989.0424,-2606.1063,-5881.8638,2520.8428,sigma_mpa = -sum(c_stress_atom_virial)/(Lx*Ly*bin_width)*0.1; per-atom percentiles use bin_volume/count proxy,,,
