window,r_bin_min_A,r_bin_max_A,r_bin_center_A,eps00194_atoms,eps0000_atoms,eps0000_sigma_xx_mean_mpa,eps00194_sigma_xx_mean_mpa,delta_sigma_xx_mean_mpa,eps0000_sigma_yy_mean_mpa,eps00194_sigma_yy_mean_mpa,delta_sigma_yy_mean_mpa,eps0000_sigma_zz_mean_mpa,eps00194_sigma_zz_mean_mpa,delta_sigma_zz_mean_mpa,eps0000_abs_sigma_zz_mean_mpa,eps00194_abs_sigma_zz_mean_mpa,delta_abs_sigma_zz_mean_mpa,eps0000_sigma_vm_mean_mpa,eps00194_sigma_vm_mean_mpa,delta_sigma_vm_mean_mpa,eps0000_sigma_vm_p95_mpa,eps00194_sigma_vm_p95_mpa,delta_sigma_vm_p95_mpa,eps0000_abs_sigma_zz_p95_mpa,eps00194_abs_sigma_zz_p95_mpa,delta_abs_sigma_zz_p95_mpa,eps0000_fraction_vm_gt_120mpa,eps00194_fraction_vm_gt_120mpa,delta_fraction_vm_gt_120mpa,eps0000_fraction_abs_sigma_zz_gt_120mpa,eps00194_fraction_abs_sigma_zz_gt_120mpa,delta_fraction_abs_sigma_zz_gt_120mpa,eps0000_pe_atom_mean_ev,eps00194_pe_atom_mean_ev,delta_pe_atom_mean_ev
final,6.0,8.0,7.0,1380,1379,-979.3164459464879,-1002.0524750234572,-22.736029076969317,-517.7175425201808,-544.9820073040147,-27.264464783833887,-210.0962560149478,-238.5115612780571,-28.415305263109275,210.0962560149478,238.5115612780571,28.415305263109275,704.8521479931039,673.6186857078933,-31.233462285210635,7402.802738498206,7651.614985284953,248.81224678674698,4556.552162695747,4418.533471037295,-138.01869165845164,1.0,1.0,0.0,0.9615663524292966,0.9601449275362319,-0.0014214248930646267,-3.311282066715011,-3.3122998115942024,-0.0010177448791912624
final,8.0,10.0,9.0,1380,1380,-919.7694526671523,-890.0076906933175,29.761761973834837,-450.7113617576163,-413.5942083711318,37.11715338648452,-81.28863731764903,-42.574748726640635,38.7138885910084,81.28863731764903,42.574748726640635,-38.7138885910084,741.5464459826213,753.9152522781551,12.368806295533773,7287.747428660831,7238.6884981622015,-49.05893049862971,4438.741700905831,4430.038790465439,-8.702910440391861,1.0,1.0,0.0,0.9652173913043478,0.967391304347826,0.0021739130434782483,-3.3132794130434786,-3.312213275362319,0.0010661376811595957
final,10.0,12.0,11.0,1380,1380,-956.5788024122294,-871.2368438610838,85.34195855114558,-484.40074525273405,-396.4664444769987,87.93430077573538,-168.50069712652888,-33.266297722901044,135.23439940362783,168.50069712652888,33.266297722901044,-135.23439940362783,687.534074545557,736.1980124008505,48.66393785529351,7255.440286932487,7277.564369749887,22.12408281740045,4273.414833641958,4123.905236756199,-149.50959688575858,1.0,1.0,0.0,0.9565217391304348,0.9630434782608696,0.006521739130434745,-3.313239253623188,-3.311260231884058,0.0019790217391300047
final,12.0,14.0,13.0,1380,1380,-926.452875497746,-837.8186878805773,88.63418761716878,-468.3944993797395,-366.0653155531171,102.3291838266224,-135.011322506749,33.626219125077704,168.6375416318267,135.011322506749,33.626219125077704,-101.38510338167129,690.6370108778385,767.0821018667226,76.44509098888409,7104.823289305462,7384.249780488202,279.4264911827404,4308.179788538712,4471.293818120458,163.11402958174585,1.0,1.0,0.0,0.9572463768115942,0.9579710144927536,0.0007246376811593791,-3.3134107028985507,-3.3124787898550725,0.0009319130434781719
final,14.0,16.0,15.0,1380,1380,-824.7521249252359,-870.7049080886177,-45.95278316338181,-337.0781844192416,-392.7925913351644,-55.71440691592278,106.96963457418472,17.860679169403266,-89.10895540478145,106.96963457418472,17.860679169403266,-89.10895540478145,811.7100218623152,773.2671284387623,-38.44289342355296,7287.240712581685,7330.006729061974,42.76601648028827,4309.306258789663,4209.523859148234,-99.78239964142904,1.0,1.0,0.0,0.946376811594203,0.9550724637681159,0.008695652173912993,-3.3133725724637677,-3.3132349565217396,0.000137615942028102
final,16.0,18.0,17.0,1380,1380,-849.2059737931049,-938.0825245234887,-88.87655073038377,-357.9674068371334,-419.8415566323489,-61.87414979521549,29.019135541385488,-81.17684905501318,-110.19598459639866,29.019135541385488,81.17684905501318,52.15771351362769,773.8487647947966,747.9643077524787,-25.884457042317877,6982.43210261356,7213.918497813645,231.4863952000851,4219.293983434239,4019.289250232967,-200.00473320127185,1.0,1.0,0.0,0.9586956521739131,0.9572463768115942,-0.0014492753623188692,-3.3126393043478264,-3.313784565217391,-0.0011452608695647903
final,18.0,20.0,19.0,1380,1380,-853.0447897626326,-857.5485836588556,-4.503793896222987,-351.63304714511884,-373.0812979086769,-21.448250763558065,18.055533152991426,39.87070654802803,21.815173395036606,18.055533152991426,39.87070654802803,21.815173395036606,759.4201945137818,778.6118601905163,19.191665676734488,7166.927884540441,7019.288958359963,-147.63892618047794,4152.331551930551,4083.268510785148,-69.06304114540262,1.0,1.0,0.0,0.9565217391304348,0.95,-0.006521739130434856,-3.3130173115942023,-3.3138315144927537,-0.0008142028985513861
final,20.0,22.0,21.0,1380,1380,-831.6507244709476,-821.5434349018719,10.107289569075647,-350.2830849335389,-339.78170696879874,10.50137796474013,118.753161077447,106.99525504521723,-11.75790603222977,118.753161077447,106.99525504521723,-11.75790603222977,825.3257828880934,804.5866414810581,-20.739141407035277,7210.62068698038,7109.7399340466,-100.88075293378006,4308.960895699972,4118.1914827628025,-190.76941293716936,1.0,1.0,0.0,0.9543478260869566,0.9507246376811594,-0.0036231884057971175,-3.3140197318840583,-3.3127582101449273,0.0012615217391309663
final,22.0,24.0,23.0,1380,1380,-826.8889933020064,-898.4140237722676,-71.52503047026119,-337.6549222174835,-372.2651642697408,-34.61024205225732,130.11948314117953,-53.026459939833664,-183.1459430810132,130.11948314117953,53.026459939833664,-77.09302320134586,829.7175634376943,757.0430472611241,-72.67451617657014,7135.531804736452,7027.352080741803,-108.17972399464907,4505.788827170681,4223.457494096093,-282.33133307458775,1.0,1.0,0.0,0.9507246376811594,0.9557971014492753,0.005072463768115876,-3.314066057971014,-3.312728615942029,0.0013374420289853362
final,24.0,26.0,25.0,1380,1380,-729.957831587518,-781.5376716267002,-51.57984003918227,-211.10912042948587,-275.7906359453534,-64.68151551586755,296.0382757856682,165.40900975337547,-130.62926603229272,296.0382757856682,165.40900975337547,-130.62926603229272,900.2867401623192,834.8959950690481,-65.39074509327111,7204.801002673384,7273.456362531005,68.65535985762108,4349.184921757087,4273.102390777453,-76.0825309796337,1.0,1.0,0.0,0.9550724637681159,0.9550724637681159,0.0,-3.3134956521739127,-3.3131298623188403,0.000365789855072407
