frame,step,x_lo,x_up,len_lo,len_up,n_small_segments,sxz_quiet_MPa,ux_lo,ux_up
20,20000,46.79321320698806,,100.311722644024,0.0,0,-35.69454727593427,46.79321320698806,
21,21000,42.89622014273004,,100.00392275136929,0.0,0,-178.26698157987005,42.89622014273004,
22,22000,38.39094308153103,,100.76897446474803,0.0,0,-172.01029900091115,38.39094308153103,
23,23000,35.17134906619627,,100.6278736330591,0.0,0,15.865047923181885,35.17134906619627,
24,24000,32.6127007031453,,100.5018326574282,0.0,0,-20.13926756941749,32.6127007031453,
25,25000,37.722021170933274,,99.97219698476316,0.0,0,-190.98759352390368,37.722021170933274,
26,26000,46.02776114889537,,99.64621486130679,0.0,0,-87.64380353884336,46.02776114889537,
27,27000,49.052587918167134,,100.2036185553849,0.0,0,-14.169151849710266,49.052587918167134,
28,28000,47.86546392677467,,100.2540157137681,0.0,0,-176.49645943958984,47.86546392677467,
29,29000,51.38833837526609,,100.93483903176,0.0,0,-103.98168786531637,51.38833837526609,
30,30000,54.26620752273746,,99.8524000950554,0.0,0,-164.43458363773914,54.26620752273746,
31,31000,52.565144497625276,,99.81195413222898,0.0,0,-135.18504378922674,52.565144497625276,
32,32000,55.40004413097459,,100.97469554906525,0.0,0,-299.38667449044385,55.40004413097459,
33,33000,55.6554784268292,,100.0746373061375,0.0,0,-110.17590489357754,55.6554784268292,
34,34000,56.62551022248847,,99.66546767569972,0.0,0,-227.81905528335992,56.62551022248847,
35,35000,57.77679883136956,,99.77820220386079,0.0,0,-212.91414748090205,57.77679883136956,
36,36000,58.18411781055712,,100.22166404486975,0.0,0,-224.93664637848474,58.18411781055712,
37,37000,56.58968601189318,,100.00570514225086,0.0,0,-197.69695194214782,56.58968601189318,
38,38000,58.70129963854993,,99.92390918064521,0.0,0,-254.93767049812368,58.70129963854993,
39,39000,58.36774598362267,,99.8716931961887,0.0,0,-196.73824196965256,58.36774598362267,
40,40000,59.33347080874222,,99.86763144473946,0.0,0,-249.64348108380415,59.33347080874222,
41,41000,57.59869855124945,,100.35707703616421,0.0,0,-291.16616541444006,57.59869855124945,
42,42000,57.191804292078054,,100.97675304378532,0.0,0,-304.2965832550776,57.191804292078054,
43,43000,61.865353445796,,99.99781036676723,0.0,0,-196.46152541261634,61.865353445796,
44,44000,61.41828414505964,,99.99240178625146,0.0,0,-211.9656976762213,61.41828414505964,
45,45000,63.252748239988975,,100.25826771714704,0.0,0,-217.67740598827328,63.252748239988975,
46,46000,65.11234176176971,,100.10484445749978,0.0,1,-214.139745206076,65.11234176176971,
47,47000,64.34632571891368,,99.5223406175835,0.0,0,-211.88837944831297,64.34632571891368,
48,48000,62.324392040601296,,100.09002096786156,0.0,0,-280.04171705200537,62.324392040601296,
49,49000,61.17884750310089,,100.28847416794623,0.0,0,-217.21261069708285,61.17884750310089,
50,50000,62.36883713005102,,100.25648065368354,0.0,0,-199.0876334249054,62.36883713005102,
51,51000,61.32469482436323,,99.70318122516647,0.0,0,-222.49479625027624,61.32469482436323,
52,52000,57.58310757694007,,101.02402743761809,0.0,0,-216.6181780396323,57.58310757694007,
53,53000,57.55884631338974,,100.02832032283064,0.0,0,-188.991146941548,57.55884631338974,
54,54000,55.38768796628653,,99.78025330602614,0.0,0,-231.8547197365869,55.38768796628653,
55,55000,51.74945656793151,,102.0653887174053,0.0,0,-191.20116680802272,51.74945656793151,
56,56000,48.51060264708379,,100.8263884598779,0.0,0,-138.15204721407312,48.51060264708379,
57,57000,49.976479583948915,,101.43022460726877,0.0,0,-230.01034876936797,49.976479583948915,
58,58000,50.284383668059036,,100.96675193999351,0.0,0,-257.5110976869619,50.284383668059036,
59,59000,47.95987184599071,,100.54763349139105,0.0,0,-158.17772124072138,47.95987184599071,
60,60000,49.07795763857109,,99.86220124108715,0.0,0,-115.04325931445544,49.07795763857109,
61,61000,52.384580924992925,,100.624849305071,0.0,0,-226.84184518715793,52.384580924992925,
