bin_index,z_lo_A,z_hi_A,z_center_A,frames_present,atom_count_mean,atom_count_std,Al_type_1_mean,Al_type_1_std,Fe_type_2_mean,Fe_type_2_std,Al_slab_atoms_mean,Al_slab_atoms_std,Fe4Al13_slab_atoms_mean,Fe4Al13_slab_atoms_std,sigma_xx_GPa_mean,sigma_xx_GPa_std,sigma_yy_GPa_mean,sigma_yy_GPa_std,sigma_zz_GPa_mean,sigma_zz_GPa_std,sigma_xy_GPa_mean,sigma_xy_GPa_std,sigma_xz_GPa_mean,sigma_xz_GPa_std,sigma_yz_GPa_mean,sigma_yz_GPa_std,hydrostatic_GPa_mean,hydrostatic_GPa_std,mean_pe_atom_eV_mean,mean_pe_atom_eV_std,single_frame_hydrostatic_GPa,single_frame_sigma_zz_GPa,delta_hydrostatic_vs_single_GPa,delta_sigma_zz_vs_single_GPa
10,55.0,60.0,57.5,51,30.705882352941178,0.855432467166376,24.41176470588235,0.5357787076110918,6.294117647058823,0.46017899330842227,0.0,0.0,30.705882352941178,0.855432467166376,-1.4614650585664701,0.576472600970809,0.5937431746237692,0.6668256521900107,0.2341659956972172,0.8495038675329211,1.1374451402883945,0.37871131967645355,-0.08497722492908202,0.6208959828074719,-0.12672172305443147,0.6734995339280495,-0.2111852960818279,0.5113884203109054,-3.5310506900360337,0.006937054147749782,-0.35197157573051857,-0.36215091426600965,0.14078627964869067,0.5963169099632268
11,60.0,65.0,62.5,51,30.45098039215686,0.7018183665364159,24.254901960784313,0.44014257939453943,6.196078431372549,0.4009791936316524,0.0,0.0,30.45098039215686,0.7018183665364159,-1.54808959458027,0.6533939578733438,0.5626838149967885,0.7691816989502597,0.334997683888826,0.9938424141119153,0.9979690986340979,0.384869945844434,-0.027554274445220007,0.6886446020449812,0.14738183383159165,0.572240542133204,-0.21680269856488504,0.6128615159680842,-3.5335320358422937,0.005983473028454168,0.2917099152503045,1.090805511371794,-0.5085126138151895,-0.755807827482968
12,65.0,70.0,67.5,51,34.529411764705884,0.7029350233548073,26.725490196078432,0.45070750482098787,7.803921568627451,0.4009791936316524,0.0,0.0,34.529411764705884,0.7029350233548073,-1.5354064688168632,0.6704493907733748,1.2241128159923833,0.6034292753080875,-0.6680167670597208,0.9276704137315434,1.5384932974361563,0.37080354293385936,-0.14965350673581282,0.6430153300445557,0.02285638522318658,0.6556339948000811,-0.3264368066280668,0.5378399149131301,-3.547085774727003,0.008189271925377975,-0.5065303222123135,-0.8044133253348813,0.18009351558424674,0.1363965582751605
13,70.0,75.0,72.5,51,32.94117647058823,1.1732308333125643,23.49019607843137,0.9459925796666239,9.450980392156863,0.6422997895125322,0.0,0.0,32.94117647058823,1.1732308333125643,-1.3424230635054333,0.6584201146078092,0.09492745033326329,0.8294039676614945,-0.14137912433251804,0.9150154336075302,0.35998489386655425,0.5365185378844628,-0.12192647650590228,0.6151865927257654,0.0682070596016008,0.666816346978477,-0.46295824583489603,0.6103846786035311,-3.4862483824907544,0.013445994187705666,-1.2718836314017645,-0.5883584409749342,0.8089253855668685,0.44697931664241614
14,75.0,80.0,77.5,51,30.84313725490196,1.2226618341897786,24.294117647058822,1.0255558033975298,6.549019607843137,0.6422997895125322,0.0,0.0,30.84313725490196,1.2226618341897786,-1.21438226271071,0.7693843046350631,0.7723358179350708,0.7505389239182337,-0.145975480637015,0.9250950455100216,1.6263744100724022,0.5350765158100598,0.2705975171711417,0.6746461452381776,-0.12335778402604287,0.6394660639133138,-0.1960073084708847,0.648359492662329,-3.5467080971421256,0.013756242313755948,-0.7894013936242779,-1.1427350210855125,0.5933940851533932,0.9967595404484975
15,80.0,85.0,82.5,51,33.15686274509804,1.0839289463725534,25.19607843137255,1.0396077691733023,7.96078431372549,0.19603921176392136,0.0,0.0,33.15686274509804,1.0839289463725534,-1.209185425514758,0.6419129414628415,1.3670383387712792,0.5944997036765282,-0.3714365479810277,1.0745585274541443,1.90460472282316,0.3637932048750571,0.4505970096268726,0.7164829401696662,-0.16077641521509464,0.697881617222021,-0.07119454490816886,0.6014187730656719,-3.5219404542180652,0.008993704509133317,-0.40314410616126345,-0.5604814826804151,0.3319495612530946,0.18904493469938738
16,85.0,90.0,87.5,51,29.098039215686274,1.2042408722640885,21.058823529411764,1.1732308333125643,8.03921568627451,0.19603921176392136,0.0,0.0,29.098039215686274,1.2042408722640885,-1.4919113761572587,0.6302917166876858,-0.8420566028436155,0.5955483342838015,-0.19028743556363667,0.9424343239929581,-0.38845951626696285,0.36313241869186297,-0.08573271246998515,0.6696995503500376,0.04922375616650445,0.766125244016623,-0.8414184715215037,0.45484126800544444,-3.499165408710995,0.011510316351242446,-0.8829407152760925,-0.5363883113963162,0.041522243754588795,0.34610087583267946
17,90.0,95.0,92.5,51,34.19607843137255,1.0201883716870577,26.19607843137255,1.0201883716870577,8.0,0.0,0.0,0.0,34.19607843137255,1.0201883716870577,-1.297099913128865,0.6288078483399362,1.4463525329904219,0.6362755532834564,-0.6981092834184409,1.2258990751331407,1.4896921982790956,0.33187800237926834,-0.01886313570904775,0.5772328269854871,-0.18874588982504995,0.8526105615921352,-0.18295222118562796,0.6665974903560226,-3.53985252613859,0.006526986406272576,-0.5147681403187755,-1.0367536861546363,0.33181591913314756,0.33864440273619534
18,95.0,100.0,97.5,51,30.941176470588236,0.5800608487351082,24.941176470588236,0.5800608487351082,6.0,0.0,0.0,0.0,30.941176470588236,0.5800608487351082,-1.0169793227316049,0.7216763076685595,0.24478231259673522,0.6780221088713269,0.0238231727908986,1.0258621229197669,1.059708707505994,0.48195510389909857,-0.03461337284230808,0.5291558280024178,0.32115881135678537,0.8125633532779203,-0.24945794578132366,0.5663920777334013,-3.5298625025168673,0.007994816390847684,-0.37044303315196164,-0.39175666990778524,0.12098508737063798,0.41557984269868387
19,100.0,105.0,102.5,51,23.84313725490196,0.4182128175753509,17.84313725490196,0.4182128175753509,6.0,0.0,0.0,0.0,23.84313725490196,0.4182128175753509,-1.426937919456079,0.6373918847088826,-0.1384754033661551,0.7345709513652531,-0.10059614053370682,0.8728208922730847,1.4579843691085899,0.5838198324414284,-0.05060767139896542,0.6499283541183001,-0.1912720340784609,0.749982334514023,-0.5553364877853136,0.4313488215463786,-3.276403325930662,0.010917775437779328,-0.9163914154798455,0.6740671390229248,0.36105492769453185,-0.7746632795566316
