rank,al_hkl,fe_hkl,al_matrix,fe_matrix,al_det,fe_det,al_len1_A,fe_len1_A,mismatch1_percent,al_len2_A,fe_len2_A,mismatch2_percent,max_len_mismatch_percent,al_angle_deg,fe_angle_deg,angle_delta_deg,al_area_A2,fe_area_A2,area_mismatch_percent,estimated_atoms,score,status
76,(111),(001),"[[-6,1],[-4,-5]]","[[-2,-1],[0,-1]]",34,2,16.190857028901362,16.801682335706975,3.7028086868684924,22.711923066793116,23.000678464602757,1.2633514091790257,3.7028086868684924,42.61877207294218,43.15724460989378,0.5384725369516019,248.99322515259283,264.33300087177605,5.9766187432063935,1496,6.394193115494393,reasonable
77,(110),(010),"[[-5,-2],[-2,-4]]","[[-1,-1],[0,-1]]",16,1,16.704980031947507,16.801682335706975,0.5772123925587948,17.447782600488964,17.71462942192158,1.5177958853479234,1.5177958853479234,41.032570868942855,43.938788754926364,2.9062178859835086,191.3431689517737,206.5261941289576,7.632166025361009,716,6.414497911326186,reasonable
78,(110),(010),"[[-4,-3],[-2,-6]]","[[-1,1],[0,-1]]",18,1,16.956196835861668,16.801682335706975,0.9154277694365809,25.351040381466234,24.20137807753879,4.640186451761438,4.640186451761438,30.051180649978217,30.524366841048703,0.47318619107048576,215.26106507074542,206.5261941289576,4.141837265716047,780,6.42117712903424,reasonable
79,(111),(001),"[[-6,-5],[-6,1]]","[[-3,-1],[-2,0]]",36,2,16.190857028901362,15.732548808191176,2.8712990277351165,27.740206334011535,28.948806004646304,4.2639644642762295,4.2639644642762295,35.94378396574399,35.478139719934234,0.46564424580975583,263.63988545568657,264.33300087177605,0.26255720096186724,1560,6.438754003249169,reasonable
80,(111),(001),"[[-6,0],[-3,6]]","[[-2,0],[0,-1]]",36,2,15.110222971731561,15.732548808191176,4.03547282261266,17.447782600488967,16.801682335706975,3.772907202992084,4.03547282261266,90.0,89.91563735864257,0.08436264135742988,263.6398854556866,264.33300087177605,0.26255720096184565,1560,6.4413532121498,reasonable
81,(100),(001),"[[-5,-4],[-5,2]]","[[-2,0],[-1,1]]",30,2,15.659864137114484,15.732548808191176,0.46307157849464275,18.62005327644167,18.562435401923405,0.3099194086585706,0.46307157849464275,60.4612177404419,64.84259071127448,4.3813729708325795,253.68759806160458,264.33300087177605,4.1100306945672305,1368,6.444591211797658,borderline
82,(111),(001),"[[-5,-2],[-1,3]]","[[-1,0],[-1,1]]",17,1,7.693748948402272,7.866274404095588,2.21754751628468,18.16022790275733,18.562435401923405,2.190513775262092,2.21754751628468,63.00449159888308,64.84259071127448,1.8380991123914043,124.49661257629641,132.16650043588803,5.9766187432063935,748,6.524451508092786,reasonable
83,(111),(001),"[[-5,-2],[-1,3]]","[[-1,-1],[-1,0]]",17,1,7.693748948402272,7.866274404095588,2.21754751628468,18.16022790275733,18.54145616100567,2.0774428638534324,2.21754751628468,63.00449159888308,64.98098134685826,1.9764897479751795,124.49661257629641,132.16650043588803,5.9766187432063935,748,6.584445728321358,reasonable
84,(110),(100),"[[-5,-1],[-4,-4]]","[[-2,0],[-2,1]]",16,2,15.110222971731558,15.732548808191176,4.035472822612683,20.146963962308746,20.222600590382086,0.37472104993660976,4.035472822612683,38.94244126898137,39.77997788127772,0.8375366122963541,191.3431689517737,203.56742417842187,6.190897605331162,920,6.588549311191545,reasonable
85,(111),(010),"[[-5,-2],[-5,4]]","[[-1,-1],[-1,0]]",30,1,13.325964079312355,12.940667250724927,2.933736144130679,18.16022790275733,17.71462942192158,2.4841825950857084,2.933736144130679,65.20871910285511,64.27930898061642,0.9294101222386928,219.69990454640546,206.5261941289576,6.181559720716059,1164,6.5919347203730325,reasonable
86,(111),(001),"[[-6,-5],[-6,1]]","[[-3,1],[-2,0]]",36,2,16.190857028901362,15.732548808191176,2.8712990277351165,27.740206334011535,28.98911181003824,4.403033623127368,4.403033623127368,35.94378396574399,35.421382700406134,0.5224012653378551,263.63988545568657,264.33300087177605,0.26255720096186724,1560,6.611438477659834,reasonable
87,(100),(001),"[[-5,-4],[-5,2]]","[[-2,0],[-1,-1]]",30,2,15.659864137114484,15.732548808191176,0.46307157849464275,18.62005327644167,18.54145616100567,0.4230028146101026,0.46307157849464275,60.4612177404419,64.98098134685826,4.519763606416355,253.68759806160458,264.33300087177605,4.1100306945672305,1368,6.652959244586277,borderline
88,(111),(001),"[[-6,0],[-4,-3]]","[[-1,-1],[0,-1]]",18,1,17.447782600488967,16.801682335706975,3.772907202992084,17.688453039840585,18.54145616100567,4.708833888797933,4.708833888797933,25.2849960460518,25.103381294499172,0.18161475155262607,131.8199427278433,132.16650043588803,0.26255720096184565,780,6.658025872273452,reasonable
89,(110),(100),"[[-4,-6],[-2,-5]]","[[-3,-1],[-2,-1]]",8,1,21.36908225710426,20.518146776794502,4.062982918354936,27.279118161102158,27.081283302046817,0.7278638631447694,4.062982918354936,9.446232772415021,10.55486533577092,1.1086325633558989,95.67158447588685,101.78371208921091,6.190897605331134,460,6.7044767992598056,reasonable
90,(110),(001),"[[-6,-4],[-3,-4]]","[[-2,1],[-1,1]]",12,1,18.620053276441674,18.562435401923405,0.3099194086585897,23.97968353154333,23.034496582131105,4.020859013714078,4.020859013714078,18.747790612114613,18.00537396116304,0.7424166509515722,143.50737671383027,132.166500435888,8.227748232947768,588,6.714751594086062,borderline
91,(110),(100),"[[-3,-6],[-3,-3]]","[[-1,-2],[-1,-1]]",9,1,15.11022297173156,15.243009382123471,0.8749408224066604,26.17167390073345,27.161408925798533,3.711523777030618,3.711523777030618,15.793169048263943,14.231571802537184,1.5615972457267588,107.63053253537271,101.78371208921094,5.583975871978862,492,6.7376495829922565,reasonable
92,(100),(100),"[[-5,-5],[-4,3]]","[[-2,1],[-1,-1]]",35,3,14.539818833740807,15.243009382123471,4.722120701808297,20.562408989124002,20.222600590382086,1.6663396784521767,4.722120701808297,81.86989764584402,82.13161973852742,0.2617220926833994,295.96886440520535,305.35113626763285,3.120558721455912,1732,6.759339388287589,reasonable
93,(100),(001),"[[-6,-2],[-2,2]]","[[-1,0],[-1,1]]",16,1,8.224963595649601,7.866274404095588,4.458192608420726,18.391577712333604,18.562435401923405,0.9247043835890417,4.458192608420726,63.43494882292202,64.84259071127448,1.4076418883524653,135.30005229952243,132.16650043588803,2.3431354923351893,716,6.787351407642344,reasonable
94,(100),(100),"[[-5,-2],[-4,3]]","[[-2,0],[-1,-1]]",23,2,14.539818833740807,15.243009382123471,4.722120701808297,15.659864137114484,15.732548808191176,0.46307157849464275,4.722120701808297,58.67130713219584,58.088402380194886,0.5829047520009567,194.49382518056353,203.56742417842187,4.55889590482366,1144,6.81145570927443,reasonable
95,(110),(001),"[[-6,-4],[-3,-4]]","[[-2,-1],[-1,-1]]",12,1,18.620053276441674,18.54145616100567,0.4230028146101216,23.97968353154333,23.000678464602757,4.1677204063301305,4.1677204063301305,18.747790612114613,18.053863315394587,0.6939272967200267,143.50737671383027,132.16650043588805,8.227748232947723,588,6.822608687061332,borderline
96,(100),(001),"[[-6,-2],[-2,2]]","[[-1,-1],[-1,0]]",16,1,8.224963595649601,7.866274404095588,4.458192608420726,18.391577712333604,18.54145616100567,0.8116227287802542,4.458192608420726,63.43494882292202,64.98098134685826,1.5460325239362405,135.30005229952243,132.16650043588803,2.3431354923351893,716,6.904128786774796,reasonable
97,(110),(001),"[[-3,-4],[0,-4]]","[[-1,-1],[0,-1]]",12,1,16.449927191299203,16.801682335706975,2.115718002294502,18.620053276441674,18.54145616100567,0.4230028146101216,2.115718002294502,27.938352729602364,25.103381294499172,2.834971435103192,143.50737671383027,132.16650043588803,8.227748232947746,588,6.932110951524614,borderline
98,(110),(010),"[[-4,-6],[-1,3]]","[[-2,-1],[-1,0]]",18,1,12.675520190733117,12.940667250724927,2.070152403418841,27.279118161102158,26.081437835939578,4.489009916721924,4.489009916721924,38.50207782898377,37.727674776534904,0.7744030524488679,215.26106507074542,206.5261941289576,4.141837265716047,780,6.936123720345053,reasonable
99,(110),(001),"[[-3,-4],[0,-4]]","[[-1,1],[0,-1]]",12,1,16.449927191299203,16.801682335706975,2.115718002294502,18.620053276441674,18.562435401923405,0.3099194086585897,2.115718002294502,27.938352729602364,25.07304664736813,2.865306082234234,143.50737671383027,132.16650043588803,8.227748232947746,588,6.943152411956487,borderline
100,(110),(100),"[[-3,-3],[-2,-5]]","[[-2,1],[-1,1]]",9,1,15.11022297173156,15.04423307335817,0.4376792489621818,21.36908225710426,20.222600590382086,5.513033319311644,5.513033319311644,19.471220634490695,19.54565345472671,0.07443282023601583,107.6305325353727,101.78371208921095,5.583975871978835,492,6.967607683659695,borderline
101,(110),(100),"[[-6,-6],[-3,-6]]","[[-2,-2],[-1,-2]]",18,2,26.17167390073345,27.161408925798533,3.711523777030618,30.22044594346312,30.486018764246943,0.8749408224066604,3.711523777030618,15.793169048263943,14.231571802537184,1.5615972457267588,215.26106507074542,203.56742417842187,5.583975871978862,984,6.983649582992256,reasonable
102,(110),(100),"[[-4,-4],[-4,-2]]","[[-2,1],[-1,1]]",8,1,14.246054838069508,15.04423307335817,5.450122154499208,20.146963962308746,20.222600590382086,0.37472104993660976,5.450122154499208,19.471220634490695,19.54565345472671,0.07443282023601583,95.67158447588685,101.78371208921095,6.190897605331176,460,7.005601208600873,borderline
103,(110),(100),"[[-6,-5],[-4,-2]]","[[-1,1],[-1,2]]",8,1,14.246054838069508,15.04423307335817,5.450122154499208,26.9673465715471,26.938844858651372,0.10574560042007264,5.450122154499208,14.420068106472733,14.54543953636442,0.12537142989168615,95.67158447588685,101.78371208921092,6.1908976053311475,460,7.044698869605078,borderline
104,(111),(010),"[[-5,-5],[-5,1]]","[[-1,0],[-1,1]]",30,1,13.325964079312355,12.940667250724927,2.933736144130679,25.18370495288593,24.20137807753879,3.9782331630057373,3.9782331630057373,40.893394649130904,41.25753542340853,0.36414077427762237,219.69990454640543,206.5261941289576,6.181559720716047,1164,7.125442386892472,reasonable
105,(110),(100),"[[-6,-5],[-5,-1]]","[[-3,1],[-1,1]]",19,2,15.110222971731558,15.04423307335817,0.4376792489621701,26.9673465715471,26.745742586658135,0.8251396013968142,0.8251396013968142,33.891288740963454,30.392576130772742,3.4987126101907116,227.22001313023122,203.56742417842187,10.981095038230004,1016,7.136965068396907,borderline
106,(100),(001),"[[-6,-2],[-4,4]]","[[-2,0],[-1,1]]",32,2,16.449927191299203,15.732548808191176,4.458192608420726,18.391577712333604,18.562435401923405,0.9247043835890417,4.458192608420726,63.43494882292202,64.84259071127448,1.4076418883524653,270.60010459904487,264.33300087177605,2.3431354923351893,1432,7.1453514076423446,reasonable
107,(111),(010),"[[-5,3],[-3,-4]]","[[-1,0],[0,-1]]",29,1,12.675520190733115,12.940667250724927,2.0701524034188554,17.688453039840585,16.801682335706975,5.142170040667938,5.142170040667938,71.30177950757768,71.78190226445722,0.4801227568795383,212.37657439485864,206.5261941289576,2.7931924568163464,1132,7.147995295306287,borderline
108,(110),(010),"[[-6,0],[-2,-3]]","[[-1,-1],[-1,0]]",18,1,13.639559080551079,12.940667250724927,5.258734979271348,17.447782600488967,17.71462942192158,1.517795885347903,5.258734979271348,64.7605981793211,64.27930898061642,0.48128919870467257,215.26106507074542,206.5261941289576,4.141837265716047,780,7.1730466372034885,borderline
109,(110),(100),"[[-6,-6],[-2,-5]]","[[-2,1],[-2,2]]",18,2,21.36908225710426,20.222600590382086,5.513033319311644,30.22044594346312,30.08846614671634,0.4376792489621818,5.513033319311644,19.471220634490695,19.54565345472671,0.07443282023601583,215.2610650707454,203.5674241784219,5.583975871978835,984,7.213607683659695,borderline
110,(110),(001),"[[-3,-4],[-3,3]]","[[-2,0],[-1,1]]",21,2,15.11022297173156,15.732548808191176,4.035472822612672,18.620053276441674,18.562435401923405,0.3099194086585897,4.035472822612672,63.202742412357,64.84259071127448,1.6398482989174852,251.137909249203,264.33300087177605,5.11962609858089,1080,7.251129562016648,reasonable
111,(100),(001),"[[-6,-2],[-4,4]]","[[-2,0],[-1,-1]]",32,2,16.449927191299203,15.732548808191176,4.458192608420726,18.391577712333604,18.54145616100567,0.8116227287802542,4.458192608420726,63.43494882292202,64.98098134685826,1.5460325239362405,270.60010459904487,264.33300087177605,2.3431354923351893,1432,7.262128786774796,reasonable
112,(110),(010),"[[-2,-4],[-1,6]]","[[-2,-1],[-1,-1]]",16,1,17.447782600488964,17.71462942192158,1.5177958853479234,24.845653314343963,26.081437835939578,4.853151804601881,4.853151804601881,26.192589973860123,26.55163420408153,0.3590442302214072,191.3431689517737,206.52619412895763,7.632166025361023,716,7.328434346427626,reasonable
113,(110),(010),"[[-4,-3],[0,-4]]","[[-1,-1],[0,-1]]",16,1,16.449927191299203,16.801682335706975,2.115718002294502,16.956196835861668,17.71462942192158,4.375047657767605,4.375047657767605,43.31385665828306,43.938788754926364,0.6249320966433061,191.3431689517737,206.5261941289576,7.632166025361009,716,7.3691291512220705,reasonable
114,(100),(100),"[[-5,-1],[-2,2]]","[[-1,-1],[-1,0]]",12,1,8.224963595649601,7.866274404095588,4.458192608420726,14.827763991469649,15.243009382123471,2.7617872376935515,4.458192608420726,56.309932474020215,58.088402380194886,1.7784699061746707,101.47503922464182,101.78371208921094,0.30372405869255287,588,7.377540230318392,reasonable
115,(111),(010),"[[-5,-2],[-2,5]]","[[-1,-1],[-1,0]]",29,1,12.675520190733115,12.940667250724927,2.0701524034188554,18.16022790275733,17.71462942192158,2.4841825950857084,2.4841825950857084,67.31111069438452,64.27930898061642,3.031801713768104,212.3765743948586,206.5261941289576,2.793192456816333,1132,7.390121410678328,borderline
116,(110),(001),"[[-3,-4],[-3,3]]","[[-2,0],[-1,-1]]",21,2,15.11022297173156,15.732548808191176,4.035472822612672,18.620053276441674,18.54145616100567,0.4230028146101216,4.035472822612672,63.202742412357,64.98098134685826,1.7782389345012604,251.137909249203,264.33300087177605,5.11962609858089,1080,7.39974622772052,reasonable
117,(110),(010),"[[-4,-5],[-4,-1]]","[[-1,0],[-1,1]]",16,1,12.337445393474402,12.940667250724927,4.772681139143101,23.624409320351905,24.20137807753879,2.412793551674313,4.772681139143101,41.03257086894288,41.25753542340853,0.22496455446565022,191.3431689517737,206.5261941289576,7.632166025361009,716,7.45729996310641,reasonable
118,(111),(010),"[[-6,0],[-1,5]]","[[-1,0],[0,-1]]",30,1,13.325964079312355,12.940667250724927,2.933736144130679,17.447782600488967,16.801682335706975,3.772907202992084,3.772907202992084,70.89339464913091,71.78190226445722,0.8885076153263043,219.69990454640546,206.5261941289576,6.181559720716059,1164,7.486112030721751,reasonable
119,(110),(001),"[[-6,-2],[-6,0]]","[[-1,1],[0,-1]]",12,1,17.447782600488967,16.801682335706975,3.772907202992084,19.289249436504438,18.562435401923405,3.8403259336195,3.8403259336195,25.23940182067893,25.07304664736813,0.16635517331079797,143.50737671383027,132.16650043588803,8.227748232947746,588,7.489484673382603,borderline
120,(100),(100),"[[-5,-1],[-3,-3]]","[[-1,1],[0,-1]]",12,1,12.337445393474402,12.940667250724927,4.772681139143101,14.827763991469649,15.04423307335817,1.4493110816711887,4.772681139143101,33.690067525979785,31.52155132699457,2.168516198985216,101.47503922464183,101.78371208921092,0.3037240586925249,588,7.511145117976735,reasonable
121,(110),(001),"[[-5,-6],[-5,-4]]","[[-3,-1],[-2,-1]]",10,1,21.954644982714903,23.000678464602757,4.653657906003864,28.640121631478014,28.948806004646304,1.072026814316505,4.653657906003864,10.963975442737745,11.4489783115294,0.4850028687916552,119.58948059485853,132.16650043588794,9.991436779008165,524,7.520829293298084,borderline
122,(110),(001),"[[-6,-2],[-6,0]]","[[-1,-1],[0,-1]]",12,1,17.447782600488967,16.801682335706975,3.772907202992084,19.289249436504438,18.54145616100567,3.9533667886331245,3.9533667886331245,25.23940182067893,25.103381294499172,0.13602052617975602,143.50737671383027,132.16650043588803,8.227748232947746,588,7.540360903241694,borderline
123,(100),(010),"[[-6,-6],[-6,-2]]","[[-2,-1],[-1,-1]]",24,1,18.391577712333604,17.71462942192158,3.7497612966928378,24.674890786948804,26.081437835939578,5.54235141568729,5.54235141568729,26.565051177077994,26.55163420408153,0.013416972996463272,202.95007844928367,206.52619412895763,1.7466778512743495,972,7.540416685835482,borderline
124,(110),(001),"[[-6,-4],[-6,-2]]","[[-2,1],[-1,1]]",12,1,19.289249436504438,18.562435401923405,3.8403259336195,23.97968353154333,23.034496582131105,4.020859013714078,4.020859013714078,18.074454837604154,18.00537396116304,0.06908087644111305,143.50737671383027,132.166500435888,8.227748232947768,588,7.568793334009876,borderline
125,(110),(001),"[[-5,-6],[-5,-4]]","[[-3,1],[-2,1]]",10,1,21.954644982714903,23.034496582131105,4.800498795291463,28.640121631478014,28.98911181003824,1.2111567609671223,4.800498795291463,10.963975442737745,11.415834049705278,0.45185860696753366,119.58948059485853,132.166500435888,9.99143677900821,524,7.6630740962842605,borderline
126,(100),(100),"[[-5,-1],[-4,4]]","[[-2,0],[-1,-1]]",24,2,14.827763991469649,15.243009382123471,2.7617872376935515,16.449927191299203,15.732548808191176,4.458192608420726,4.458192608420726,56.309932474020215,58.088402380194886,1.7784699061746707,202.95007844928364,203.56742417842187,0.30372405869255287,1176,7.671540230318392,reasonable
127,(110),(001),"[[-6,-4],[-6,-2]]","[[-2,-1],[-1,-1]]",12,1,19.289249436504438,18.54145616100567,3.9533667886331245,23.97968353154333,23.000678464602757,4.1677204063301305,4.1677204063301305,18.074454837604154,18.053863315394587,0.020591522209567614,143.50737671383027,132.16650043588805,8.227748232947723,588,7.704616980464435,borderline
128,(110),(001),"[[-4,-5],[-1,4]]","[[-2,1],[0,-1]]",21,2,16.70498003194751,16.801682335706975,0.5772123925587734,23.624409320351905,23.034496582131105,2.5286179639690483,2.5286179639690483,39.52119635864216,43.07842060853116,3.5572242498890034,251.137909249203,264.33300087177605,5.11962609858089,1080,7.714811543552055,borderline
129,(100),(010),"[[-5,-4],[-4,2]]","[[-1,-1],[-1,0]]",26,1,13.00480931711046,12.940667250724927,0.49443737306448876,18.62005327644167,17.71462942192158,4.983799429523446,4.983799429523446,65.22485943116808,64.27930898061642,0.9455504505516643,219.86258498672396,206.5261941289576,6.255507419977451,1036,7.722917609369241,reasonable
130,(100),(100),"[[-5,-1],[-3,4]]","[[-1,-1],[-1,1]]",23,2,14.539818833740807,15.04423307335817,3.4100416075617015,14.827763991469649,15.243009382123471,2.7617872376935515,3.4100416075617015,64.4400348281762,62.5859662838007,1.8540685443754938,194.49382518056348,203.56742417842187,4.558895904823689,1144,7.725996823945357,reasonable
131,(110),(001),"[[-6,-6],[-6,-4]]","[[-3,1],[-2,1]]",12,1,23.97968353154333,23.034496582131105,4.020859013714078,30.22044594346312,28.98911181003824,4.159241109521935,4.159241109521935,11.42175365896228,11.415834049705278,0.005919609257000857,143.5073767138303,132.166500435888,8.227748232947787,588,7.730501132621569,borderline
132,(100),(100),"[[-3,-3],[-2,2]]","[[-1,0],[0,-1]]",12,1,8.224963595649601,7.866274404095588,4.458192608420726,12.337445393474402,12.940667250724927,4.772681139143101,4.772681139143101,90.0,89.15281733700098,0.8471826629990176,101.47503922464183,101.78371208921094,0.3037240586925389,588,7.732927902674235,reasonable
133,(100),(010),"[[-6,-2],[-3,3]]","[[-1,-1],[-1,0]]",24,1,12.337445393474402,12.940667250724927,4.772681139143101,18.391577712333604,17.71462942192158,3.7497612966928378,4.772681139143101,63.43494882292201,64.27930898061642,0.8443601576944104,202.95007844928367,206.5261941289576,1.7466778512743357,972,7.749225778794058,reasonable
134,(100),(100),"[[-6,-5],[-1,5]]","[[-3,0],[-1,1]]",35,3,14.827763991469649,15.04423307335817,1.4493110816711887,22.711923066793116,23.59882321228676,3.8302131438304508,3.8302131438304508,61.50436138175502,59.32563133600442,2.178730045750598,295.9688644052053,305.35113626763285,3.120558721455931,1732,7.764087245277215,reasonable
