id,type,phase,x_A,y_A,z_A,pe_atom_eV,sxx_bar_A3,syy_bar_A3,szz_bar_A3,sxy_bar_A3,sxz_bar_A3,syz_bar_A3,hydrostatic_raw_bar_A3,displacement_A,dx_A,dy_A,dz_A,neighbor_count,strain_trace,von_mises_strain_proxy,d2min_A2
512,1,Fe4Al13_slab,5.461768260887935,2.8458003918006423,57.18545782851407,-3.54405,873144.0,1061360.0,-460298.0,-638572.0,-734157.0,282292.0,-491402.0,0.26223027847593827,0.24918018515652204,0.07909380915016985,0.02044807152388728,15,0.02032147670718254,0.03470488887230974,0.01724874699440065
513,2,Fe4Al13_slab,9.076166898983898,5.043615307149,57.586070473311835,-2.97688,-490207.0,-1388360.0,572034.0,-17788.8,-189096.0,619767.0,435511.0,0.268089883819005,0.2515649045292587,0.04458139186699661,-0.08123905535192932,13,0.027871441861566204,0.04664187205699541,0.05024643214618214
514,1,Fe4Al13_slab,12.479601475517423,4.938842813244825,61.11090048016386,-3.69028,494450.0,-1120.18,472426.0,74484.3,390883.0,657586.0,-321918.6066666667,0.29838631197453547,0.20727141327886756,0.20223345840960327,0.07193455852952012,14,0.026071266862199405,0.026120156095469253,0.007995158453964582
515,2,Fe4Al13_slab,14.182609876073322,5.1179094172429025,59.02829423891026,-2.86634,43253.9,-1436580.0,6666.57,-2172770.0,-193075.0,-809044.0,462219.8433333333,0.36643220047503083,0.29584632672629496,0.20884189851176418,0.05596936602761815,12,0.0020282681834900007,0.034390676603542544,0.013121452633429133
516,1,Fe4Al13_slab,8.092894413883128,3.339516394347835,56.05676352426964,-3.67431,937385.0,16529.2,-63897.2,-841110.0,-215691.0,102638.0,-296672.3333333333,0.3192864749930884,0.31546354046046415,-0.03320526751474384,-0.036387057629539754,14,-0.5963549612673189,0.42255628087388414,3.1208438970636627
517,1,Fe4Al13_slab,5.886091824635239,0.10829134468464081,56.07130207962703,-3.61635,702282.0,-1702720.0,455477.0,-474120.0,101846.0,766186.0,181653.66666666666,0.12212428389996503,0.0805241614678458,0.09180786626609057,-0.0012311903375135103,15,-0.5311479302700696,0.3949546973764253,2.9082081658192087
518,1,Fe4Al13_slab,4.438758247937441,6.102420488538933,55.286872369392604,-3.58546,-372397.0,-835539.0,-1393730.0,-16008.6,95016.6,-153250.0,867222.0,0.24169225004772232,0.21489660568404198,0.10873794408079984,-0.020264553182563812,13,0.00775541017867909,0.030471599059886043,0.019755219937215646
519,2,Fe4Al13_slab,3.871302697392349,5.188358185527887,52.919193457968305,-2.98676,-513768.0,-1542820.0,124366.0,-1626610.0,55599.3,-252959.0,644074.0,0.17968136755752648,0.14047165141208584,0.06227688706242863,-0.09313806061282293,13,0.0009057557074756417,0.03055028404246611,0.00979755019776388
520,1,Fe4Al13_slab,5.26107700498115,5.346523012491502,50.81468938194609,-3.66743,-409049.0,514890.0,314630.0,761432.0,811137.0,-67850.0,-140157.0,0.174728418529848,-0.013075859873682198,0.03183369965037386,-0.17130574332775694,14,0.014135830205829647,0.04161750374849727,0.03747968960141067
521,1,Fe4Al13_slab,8.500534835635358,0.8874309166422417,51.02420170062939,-3.69646,-444308.0,-2045170.0,-96039.1,-1764200.0,478214.0,71506.3,861839.0333333333,0.3098930992519301,0.13525209818548412,0.06912456937611611,-0.27011552493138424,14,0.03321578725789909,0.049368319051538344,0.043813141699064216
522,1,Fe4Al13_slab,8.704815684531034,5.347255538741588,51.84692834438175,-3.81247,501952.0,718021.0,110162.0,-695027.0,-426905.0,-269433.0,-443378.3333333333,0.3585748098600715,0.3549355373924729,0.020766922158811596,-0.04653378886521864,14,0.026265282629277742,0.0447954718493081,0.06317116066486338
523,2,Fe4Al13_slab,7.214714917959987,5.999108367518672,49.38187602835678,-3.13426,1151800.0,-1652150.0,-970658.0,345341.0,1281730.0,195793.0,490336.0,0.14449790023390305,0.0009714490287926494,0.01956542458219346,-0.14316386981256812,12,-0.01111091736399783,0.050916536916232186,0.04223298294854428
524,1,Fe4Al13_slab,5.9428908919023415,4.64495846021959,45.076279914915666,-3.65844,261750.0,235272.0,413244.0,569664.0,187579.0,-1127850.0,-303422.0,0.29872636506323663,-0.175785669917496,-0.19090939565990972,-0.14795418914082603,14,-0.03274108873093384,0.0450341967400521,0.05185763414505788
525,1,Fe4Al13_slab,7.933850076117128,5.331690814829757,42.96936438174198,-3.65453,-450608.0,-3214150.0,-58091.2,-1939180.0,-208890.0,315934.0,1240949.7333333334,0.4320056679273775,-0.24283441084310728,-0.14147289956264686,-0.32809414002873893,14,0.011412780825537538,0.035739949934457074,0.046047224254628795
526,1,Fe4Al13_slab,7.96005440881739,5.188233453766074,47.02772842717102,-3.563,1355180.0,87926.6,-747672.0,512527.0,-764460.0,-405887.0,-231811.53333333335,0.347066534423021,-0.2046846769122599,-0.27621644674778256,-0.047579795078995346,13,-0.7343705075522418,0.4968593008657989,2.4156657627987417
527,1,Fe4Al13_slab,5.093082332982457,5.477783036613168,42.13501926514177,-3.38892,1059230.0,-314880.0,341532.0,332065.0,-705915.0,-97836.9,-361960.6666666667,0.2899118007382654,-0.26321287692272843,-0.030819901121009963,-0.11754985037955379,13,-0.02374274681893951,0.052345955134884714,0.06274816063543837
528,1,Fe4Al13_slab,6.538863348598757,0.2773054488676455,52.975532917108495,-3.70958,-247038.0,1229910.0,423692.0,-283648.0,-362360.0,-1070730.0,-468854.6666666667,0.34229250724327387,0.11492711230162468,0.16347900348247993,-0.2779038229194981,14,0.001083390282670571,0.06220656029367598,0.09626887209552427
529,2,Fe4Al13_slab,11.152543516485077,5.293308123617804,51.10949621239426,-3.01192,-591987.0,-1737800.0,406162.0,-964293.0,507824.0,68928.0,641208.3333333334,0.19519252413263335,0.1294651533830784,-0.055333522366797894,-0.13519281356362,13,-0.005308601966089732,0.05592791127211184,0.014586403179002535
530,1,Fe4Al13_slab,13.082207117324812,5.326511995673773,53.02954113357769,-3.59885,-666126.0,1393510.0,-829981.0,-1197970.0,500730.0,-502864.0,34199.0,0.2156448177420689,0.05028294890073858,-0.042694908674867804,-0.2053082006206779,14,-0.026045240072437914,0.08549922256815498,0.06818695915725186
